Date,Discharge
9/25/1944,166
9/26/1944,154
9/27/1944,145
9/28/1944,140
9/29/1944,150
9/30/1944,152
10/1/1944,143
10/2/1944,129
10/3/1944,118
10/4/1944,110
10/5/1944,106
10/6/1944,116
10/7/1944,131
10/8/1944,202
10/9/1944,236
10/10/1944,225
10/11/1944,210
10/12/1944,189
10/13/1944,168
10/14/1944,204
10/15/1944,338
10/16/1944,311
10/17/1944,263
10/18/1944,230
10/19/1944,208
10/20/1944,194
10/21/1944,292
10/22/1944,822
10/23/1944,689
10/24/1944,513
10/25/1944,461
10/26/1944,412
10/27/1944,370
10/28/1944,349
10/29/1944,324
10/30/1944,304
10/31/1944,285
11/1/1944,266
11/2/1944,248
11/3/1944,230
11/4/1944,222
11/5/1944,225
11/6/1944,245
11/7/1944,239
11/8/1944,236
11/9/1944,242
11/10/1944,248
11/11/1944,339
11/12/1944,389
11/13/1944,335
11/14/1944,307
11/15/1944,304
11/16/1944,595
