STATION,STATION_NAME,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT09,WT14,WT01,WT06,WT05,WT11,WT04,WT03
GHCND:USC00302036,DELHI 2 SE NY US,19410125,-9999,-9999,-9999,-9999,61,178,25,-28,-72,-28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410126,-9999,-9999,-9999,-9999,0,178,0,-28,-94,-44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410127,-9999,-9999,-9999,-9999,33,203,25,-28,-106,-50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410128,-9999,-9999,-9999,-9999,25,178,0,-17,-111,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410129,-9999,-9999,-9999,-9999,0,203,0,-39,-106,-100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410130,-9999,-9999,-9999,-9999,13,229,13,-56,-233,-56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410131,-9999,-9999,-9999,-9999,15,2286,13,-22,-122,-83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410201,-9999,-9999,-9999,-9999,0,203,0,-17,-100,-44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410202,-9999,-9999,-9999,-9999,10,203,0,22,-61,-56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410203,-9999,-9999,-9999,-9999,0,203,0,6,-111,-56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410204,-9999,-9999,-9999,-9999,0,203,0,-50,-117,-72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410205,-9999,-9999,-9999,-9999,0,203,0,6,-100,-17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410206,-9999,-9999,-9999,-9999,0,178,0,11,-200,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410207,-9999,-9999,-9999,-9999,38,178,0,28,11,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410208,-9999,-9999,-9999,-9999,175,102,0,17,-72,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410209,-9999,-9999,-9999,-9999,178,102,18,-33,-106,-78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410210,-9999,-9999,-9999,-9999,0,102,0,17,-194,17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410211,-9999,-9999,-9999,-9999,0,102,0,33,-150,33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410212,-9999,-9999,-9999,-9999,0,102,0,61,-128,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410213,-9999,-9999,-9999,-9999,0,76,0,72,-50,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410214,-9999,-9999,-9999,-9999,0,51,0,56,11,56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410215,-9999,-9999,-9999,-9999,38,508,0,56,-22,-17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410216,-9999,-9999,-9999,-9999,178,51,0,-17,-128,-67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410217,-9999,-9999,-9999,-9999,15,76,13,-28,-122,-28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410218,-9999,-9999,-9999,-9999,71,152,102,-28,-72,-67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410219,-9999,-9999,-9999,-9999,178,152,0,-56,-94,-72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410220,-9999,-9999,-9999,-9999,18,178,25,-33,-78,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410221,-9999,-9999,-9999,-9999,15,203,13,0,-72,-28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410222,-9999,-9999,-9999,-9999,18,203,13,6,-28,-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410223,-9999,-9999,-9999,-9999,0,203,0,0,-67,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410224,-9999,-9999,-9999,-9999,0,178,0,-39,-144,-50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410225,-9999,-9999,-9999,-9999,0,152,0,33,-194,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410226,-9999,-9999,-9999,-9999,0,152,0,22,-117,-83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19410227,-9999,-9999,-9999,-9999,0,127,0,-17,-172,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
